PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Is_Married,Title_Dr/Military/Noble/Clergy,Title_Master,Title_Miss/Mrs/Ms,Title_Mr,Ticket_Frequency,Embarked_C,Embarked_Q,Embarked_S,Deck_ABC,Deck_DE,Deck_FG,Deck_M,Family Size,Family_Size_Grouped
892,3,0,7,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
893,3,1,8,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,2,3
894,2,0,9,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
895,3,0,5,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
896,3,1,2,1,1,5,1,0,0,1,0,1,0,0,1,0,0,0,1,3,3
897,3,0,0,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
898,3,1,6,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
899,2,0,5,1,1,9,0,0,0,0,1,1,0,0,1,0,0,0,1,3,3
900,3,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
901,3,0,1,2,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,3,3
902,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
903,1,0,8,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
904,1,1,2,1,0,11,1,0,0,1,0,2,0,0,1,1,0,0,0,2,3
905,2,0,9,1,0,8,0,0,0,0,1,2,0,0,1,0,0,0,1,2,3
906,1,1,8,1,0,11,1,0,0,1,0,1,0,0,1,0,1,0,0,2,3
907,2,1,3,1,0,9,1,0,0,1,0,1,1,0,0,0,0,0,1,2,3
908,2,0,7,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
909,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
910,3,1,5,1,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,2,3
911,3,1,8,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
912,1,0,9,1,0,10,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3
913,3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,3
914,1,1,7,0,0,9,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
915,1,0,1,0,1,11,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3
916,1,1,8,1,3,12,1,0,0,1,0,5,1,0,0,1,0,0,0,5,2
917,3,0,9,1,0,6,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3
918,1,1,2,0,1,11,0,0,0,1,0,1,1,0,0,1,0,0,0,2,3
919,3,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
920,1,0,7,0,0,9,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
921,3,0,3,2,0,7,0,0,0,0,1,2,1,0,0,0,0,0,1,3,3
922,2,0,9,1,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3
923,2,0,3,2,0,9,0,0,0,0,1,3,0,0,1,0,0,0,1,3,3
924,3,1,6,1,2,7,1,0,0,1,0,2,0,0,1,0,0,0,1,4,3
925,3,1,2,1,2,8,1,0,0,1,0,2,0,0,1,0,0,0,1,4,3
926,1,0,6,1,0,10,0,0,0,0,1,2,1,0,0,1,0,0,0,2,3
927,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
