PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Is_Married,Title_Dr/Military/Noble/Clergy,Title_Master,Title_Miss/Mrs/Ms,Title_Mr,Ticket_Frequency,Embarked_C,Embarked_Q,Embarked_S,Deck_ABC,Deck_DE,Deck_FG,Deck_M,Family Size,Family_Size_Grouped
1,0,3,0,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3
2,1,1,1,7,1,0,11,1,0,0,1,0,1,1,0,0,1,0,0,0,2,3
3,1,3,1,4,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
4,1,1,1,7,1,0,10,1,0,0,1,0,2,0,0,1,1,0,0,0,2,3
5,0,3,0,7,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
6,0,3,0,3,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
7,0,1,0,9,0,0,10,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
8,0,3,0,0,3,1,7,0,0,1,0,0,4,0,0,1,0,0,0,1,5,2
9,1,3,1,5,0,2,5,1,0,0,1,0,3,0,0,1,0,0,0,1,3,3
10,1,2,1,0,1,0,9,1,0,0,1,0,2,1,0,0,0,0,0,1,2,3
11,1,3,1,0,1,1,7,0,0,0,1,0,2,0,0,1,0,0,1,0,3,3
12,1,1,1,9,0,0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
13,0,3,0,1,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
14,0,3,0,7,1,5,9,0,0,0,0,1,7,0,0,1,0,0,0,1,7,1
15,0,3,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
16,1,2,1,9,0,0,7,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
17,0,3,0,0,4,1,9,0,0,1,0,0,5,0,1,0,0,0,0,1,6,2
18,1,2,0,5,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
